time,value
2026-03-27 22:43:20.783999920,0.162903673969098
2026-03-27 22:43:25.783999920,0.162903673969098
2026-03-27 22:43:30.783999920,0.7721157125097502
2026-03-27 22:43:35.783999920,0.7441008838883907
2026-03-27 22:43:40.783999920,0.7949353245761919
2026-03-27 22:43:45.783999920,0.7852019882447022
2026-03-27 22:43:50.783999920,0.7931409389939351
2026-03-27 22:43:55.783999920,0.7960671242263561
2026-03-27 22:44:00.783999920,0.7922275247332576
2026-03-27 22:44:05.783999920,0.7913477785234192
2026-03-27 22:44:10.783999920,0.7913477785234192
2026-03-27 22:44:15.783999920,0.8160248617995546
2026-03-27 22:44:20.783999920,0.791505045256477
2026-03-27 22:44:25.783999920,0.7940117585058717
2026-03-27 22:44:30.783999920,0.8063949837097157
2026-03-27 22:44:35.783999920,0.7892983251606838
2026-03-27 22:44:40.783999920,0.7976935402862593
2026-03-27 22:44:45.783999920,0.7884330553551243
2026-03-27 22:44:50.783999920,0.7781238229130709
2026-03-27 22:44:55.783999920,0.7841897134791216
2026-03-27 22:52:00.783999920,
2026-03-27 22:52:05.783999920,
2026-03-27 22:52:10.783999920,
2026-03-27 22:52:15.783999920,
2026-03-27 22:52:20.783999920,
2026-03-27 22:52:25.783999920,
2026-03-27 22:52:30.783999920,0.09659034013748169
2026-03-27 22:52:35.783999920,0.5258749770928189
2026-03-27 22:52:40.783999920,0.4265461412645472
2026-03-27 22:52:45.783999920,0.36342656626209596
2026-03-27 22:52:50.783999920,0.33676038212138126
2026-03-27 22:52:55.783999920,0.33676038212138126
2026-03-27 22:53:00.783999920,0.33676038212138126
2026-03-27 22:53:05.783999920,0.33676038212138126
2026-03-27 22:53:10.783999920,0.3367603821213813
2026-03-27 22:53:15.783999920,0.33676038212138126
2026-03-27 22:53:20.783999920,0.33676038212138126
2026-03-27 22:53:25.783999920,0.3396550063939026
2026-03-27 22:53:30.783999920,0.1377341207468285
2026-03-27 22:53:35.783999920,0.13157883186468342
2026-03-27 22:53:40.783999920,0.13837316735037442
2026-03-27 22:53:45.783999920,
2026-03-27 22:53:50.783999920,
2026-03-27 22:53:55.783999920,
2026-03-27 22:54:00.783999920,
2026-03-27 22:54:05.783999920,
2026-03-27 22:54:10.783999920,
2026-03-27 22:54:15.783999920,
2026-03-27 22:54:20.783999920,
2026-03-27 22:54:25.783999920,
2026-03-27 22:54:30.783999920,
2026-03-27 22:54:35.783999920,
2026-03-27 22:54:40.783999920,
2026-03-27 22:54:45.783999920,
2026-03-27 22:54:50.783999920,
2026-03-27 22:54:55.783999920,
2026-03-27 22:55:00.783999920,
2026-03-27 22:55:05.783999920,
2026-03-27 22:56:25.783999920,
2026-03-27 22:56:30.783999920,
2026-03-27 22:56:35.783999920,
2026-03-27 22:56:40.783999920,
2026-03-27 22:56:45.783999920,
2026-03-27 22:56:50.783999920,
2026-03-27 22:56:55.783999920,
2026-03-27 22:57:00.783999920,
2026-03-27 22:57:05.783999920,0.15012080607983772
2026-03-27 22:57:10.783999920,0.16870658434528799
2026-03-27 22:57:15.783999920,0.16175621848794358
2026-03-27 22:57:20.783999920,0.15736887671730737
2026-03-27 22:57:25.783999920,0.15543113861765182
2026-03-27 22:57:30.783999920,0.1524893516092484
2026-03-27 22:57:35.783999920,0.15064088681794113
2026-03-27 22:57:40.783999920,0.1495108923007702
2026-03-27 22:57:45.783999920,0.1491931039041969
2026-03-27 22:57:50.783999920,0.1491931039041969
2026-03-27 22:57:55.783999920,0.14919310390419693
2026-03-27 22:58:00.783999920,0.14894536855147733
2026-03-27 22:58:05.783999920,0.13534429626625802
2026-03-27 22:58:10.783999920,0.136826864769363
2026-03-27 22:58:15.783999920,0.137602628842174
2026-03-27 22:58:20.783999920,0.13689996804659668
2026-03-27 22:58:25.783999920,0.13962191837141738
2026-03-27 22:58:30.783999920,0.14180592241057433
2026-03-27 22:58:35.783999920,0.14572360235102036
2026-03-27 23:10:05.783999920,
2026-03-27 23:10:10.783999920,
2026-03-27 23:10:15.783999920,
2026-03-27 23:10:20.783999920,
2026-03-27 23:10:25.783999920,
2026-03-27 23:10:30.783999920,
2026-03-27 23:10:35.783999920,
2026-03-27 23:10:40.783999920,
2026-03-27 23:10:45.783999920,
2026-03-27 23:10:50.783999920,
2026-03-27 23:10:55.783999920,
2026-03-27 23:11:00.783999920,
2026-03-27 23:11:05.783999920,
2026-03-27 23:11:10.783999920,
2026-03-27 23:11:15.783999920,
2026-03-27 23:11:20.783999920,
2026-03-27 23:11:25.783999920,
2026-03-27 23:11:30.783999920,
2026-03-27 23:11:35.783999920,
2026-03-27 23:11:40.783999920,
2026-03-27 23:11:45.783999920,
2026-03-27 23:11:50.783999920,
2026-03-27 23:11:55.783999920,
2026-03-27 23:12:00.783999920,
2026-03-27 23:12:05.783999920,
2026-03-27 23:12:10.783999920,
2026-03-27 23:12:15.783999920,
2026-03-27 23:12:20.783999920,
2026-03-27 23:12:25.783999920,
2026-03-27 23:12:30.783999920,
2026-03-27 23:12:35.783999920,
2026-03-27 23:12:40.783999920,
2026-03-27 23:12:45.783999920,
2026-03-27 23:12:50.783999920,
2026-03-27 23:12:55.783999920,
2026-03-27 23:13:00.783999920,
2026-03-27 23:13:05.783999920,
2026-03-27 23:13:10.783999920,
2026-03-27 23:13:15.783999920,
2026-03-27 23:13:20.783999920,
2026-03-27 23:13:25.783999920,
